Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière des pertes modélisées (W);Puissance moyenne journalière des consommations totales (W);Puissance moyenne journalière des consommations HTA télérelevées à courbe de charge (W);Puissance moyenne journalière des consommations totales profilées (W);Puissance moyenne journalière des consommations HTA profilées (W);Puissance moyenne journalière des consommations PME-PMI profilées (W);Puissance moyenne journalière des consommations professionnelles profilées (W);Puissance moyenne journalière des consommations résidentielles profilées (W);Puissance moyenne journalière de la production décentralisée totale (W);Puissance moyenne journalière de la production décentralisée télérelevée à courbe de charge (W);Puissance moyenne journalière de la production décentralisée profilée (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production autre profilée (W);Température moyenne journalière réalisée lissée (°C);Température moyenne journalière normale lissée (°C);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Puissance moyenne journalière des consommations HTA totales (W);Pseudo rayonnement;Puissance moyenne journalière de la production autre  (W)
2016-03-22;3;45021100813.0;1159818688.0;2982203966.0;46333328592.0;12970965800.0;33362362792.0;1757919133.0;6171944452.0;5575744069.0;19856755138.0;5881805350.0;5469267042.0;412538308.0;387934054.0;75975.0;8.3;9.2;2316557715.0;970766512.0;427554916.0;14728884933.0;;2594481122.0
2016-03-25;3;45014422542.0;819825063.0;2982936229.0;46109633021.0;12317815872.0;33791817150.0;1706499098.0;6066273765.0;5694914738.0;20324129549.0;5338318341.0;4925882451.0;412435889.0;387831832.0;75275.0;8.9;9.5;2142658556.0;634594777.0;440346569.0;14024314970.0;;2561065009.0
2016-04-01;4;45755095104.0;707714250.0;3055230083.0;45342974781.0;12470191243.0;32872783538.0;1709390133.0;5917850747.0;5582008185.0;19663534472.0;3782307087.0;3341757076.0;440550011.0;416035817.0;74889.0;9.5;10.3;1484506313.0;737426116.0;431483077.0;14179581376.0;;1560374658.0
2016-04-06;4;40302453354.0;1809488667.0;2568901709.0;41442766835.0;12624347582.0;28818419252.0;1686123578.0;5717315365.0;4923205957.0;16491774353.0;5883006940.0;5428689195.0;454317745.0;428536504.0;75107.0;11.6;10.9;3582153097.0;928333497.0;364303084.0;14310471160.0;;1372520347.0
2016-04-18;4;40609881167.0;628243229.0;2596533882.0;40312095875.0;11890111744.0;28421984131.0;1409537114.0;5223668492.0;4594439984.0;17194338539.0;3299158708.0;2811857347.0;487301361.0;461079052.0;70198.0;10.4;12.5;870603479.0;1130621247.0;372166889.0;13299648858.0;;1297933982.0
2016-05-16;5;30167571083.0;823566208.0;2047735110.0;30524658393.0;8364479675.0;22160178718.0;1332582709.0;3355914598.0;3239296519.0;14232384892.0;3502826941.0;2966887757.0;535939184.0;511424041.0;80109.0;13.3;16.0;999396646.0;1140011916.0;274438313.0;9697062384.0;;1363418380.0
2016-05-21;5;28446139688.0;1276300479.0;1903244235.0;29658367143.0;8969873151.0;20688493992.0;965987860.0;3711710656.0;3565769141.0;12445026335.0;4624884477.0;4088240014.0;536644463.0;512144664.0;80096.0;16.2;16.6;2044887062.0;1226128755.0;233112306.0;9935861011.0;;1353864757.0
2016-05-25;5;34655522896.0;562163271.0;2113549849.0;35110864842.0;12401538824.0;22709326018.0;1599497332.0;4833829196.0;4011205462.0;12264794029.0;3418764087.0;2872495653.0;546268435.0;522835024.0;79299.0;14.5;17.0;1013413708.0;1077019302.0;287709021.0;14001036156.0;;1328326778.0
2016-06-08;6;33122866313.0;649061958.0;1999023502.0;33620796935.0;12767187994.0;20853608941.0;1515694917.0;4663913036.0;3806815939.0;10867185049.0;3410101208.0;2861990958.0;548110250.0;526087105.0;93596.0;19.3;18.5;819048597.0;1221904077.0;264085125.0;14282882911.0;;1369148534.0
2016-06-13;6;32065745146.0;1231341021.0;1925367573.0;33156564860.0;11826603641.0;21329961219.0;1325502338.0;4728138689.0;3718611538.0;11557708656.0;4506516476.0;3950325076.0;556191399.0;535088536.0;92422.0;17.8;19.0;2218980243.0;987446904.0;258988166.0;13152105979.0;;1300089330.0
