jour;categorie;value
2016-03-22;Résidentiels;19856755138.0
2016-03-22;Professionnels;5575744069.0
2016-04-01;Professionnels;5582008185.0
2016-05-25;Résidentiels;12264794029.0
2016-06-21;Entreprises;14286432584.0
2016-07-31;Entreprises;8514925615.0
2016-07-31;Professionnels;3011396714.0
2016-08-23;Résidentiels;10528454204.0
2016-10-02;Résidentiels;12804504935.0
2016-10-16;PME / PMI;3399050352.0
2016-10-16;Professionnels;3681132147.0
2016-10-20;Résidentiels;16093039949.0
2016-10-31;Professionnels;4692492898.0
2016-11-15;PME / PMI;6462227965.0
2016-11-15;Professionnels;5972499281.0
2016-11-27;PME / PMI;4395055943.0
2016-12-09;Entreprises;14724849910.0
2016-12-10;PME / PMI;5548444148.0
2017-03-24;Entreprises;14078938164.0
2017-03-24;PME / PMI;5958415573.0
2017-03-27;Professionnels;4567379091.0
2017-05-07;PME / PMI;3511460445.0
2017-05-16;Résidentiels;11094046735.0
2017-05-30;Entreprises;14434589368.0
2017-06-02;Professionnels;3875385161.0
2017-07-03;Entreprises;13614266359.0
2017-08-09;Résidentiels;10144810166.0
2017-08-29;Entreprises;14868462180.0
2017-09-29;Professionnels;4067058083.0
2017-10-05;Résidentiels;12358959083.0
2017-10-17;Résidentiels;11862507574.0
2018-01-01;PME / PMI;4914805444.0
2018-01-02;Professionnels;6345212278.0
2018-01-04;Résidentiels;21097935702.0
2018-01-18;Entreprises;15155394227.0
2018-01-22;Entreprises;14309131186.0
2018-02-24;Résidentiels;30704360754.0
2018-02-27;Professionnels;8314815489.0
2018-03-05;PME / PMI;6607847629.0
2018-03-06;PME / PMI;6499094251.0
2018-03-06;Professionnels;6085716233.0
2018-04-11;PME / PMI;5691371745.0
2018-04-24;PME / PMI;4732161964.0
2018-05-03;PME / PMI;5058627170.0
2018-06-12;Professionnels;3736797360.0
2018-07-17;Professionnels;3894946361.0
2018-09-25;Entreprises;14213457343.0
2018-10-15;Professionnels;3888578452.0
2018-10-20;Résidentiels;12842387252.0
2018-11-05;Résidentiels;17868114593.0
2018-11-07;Résidentiels;17881149473.0
2018-11-07;PME / PMI;5835928795.0
2018-12-01;Résidentiels;22448445199.0
2018-12-10;Résidentiels;21769311725.0
2018-12-16;Entreprises;9945125066.0
2018-12-29;Entreprises;9731420264.0
2019-03-14;Résidentiels;21870605571.0
2019-04-19;Résidentiels;12928994594.0
2019-06-01;Résidentiels;11008387684.0
2019-06-04;Résidentiels;10315986150.0
2019-07-01;PME / PMI;5182585322.0
2019-07-16;Résidentiels;10266149920.0
2019-07-31;PME / PMI;4946439458.0
2019-08-22;PME / PMI;4708236407.0
2019-08-29;Professionnels;3955675679.0
2019-09-10;Résidentiels;10826415366.0
2019-09-16;PME / PMI;4812572958.0
2019-09-17;Entreprises;14344126056.0
2019-11-14;PME / PMI;6868397776.0
2019-11-16;Résidentiels;25799355692.0
2019-11-18;PME / PMI;6790985115.0
2019-12-02;PME / PMI;6591154823.0
2019-12-06;Résidentiels;26634729073.0
2019-12-22;Résidentiels;22873975003.0
2020-01-10;Professionnels;6137495876.0
2020-01-11;Entreprises;10607116017.0
2020-01-25;Entreprises;10932007360.0
2020-03-03;Entreprises;14694861683.0
2020-03-06;PME / PMI;6215497933.0
2020-03-25;PME / PMI;4474695021.0
2020-05-02;PME / PMI;3010090031.0
2020-05-08;Résidentiels;12441293791.0
2020-05-12;Entreprises;11919405825.0
2020-05-13;PME / PMI;4113232225.0
2020-05-21;Résidentiels;11804461787.0
2020-05-21;Entreprises;9533133539.0
2020-05-30;PME / PMI;3285941360.0
2020-07-06;PME / PMI;4781591299.0
2020-07-09;Résidentiels;11588881758.0
2020-07-11;PME / PMI;4195584324.0
2020-07-14;Professionnels;3290163670.0
2020-07-19;Professionnels;3396773599.0
2020-08-12;Entreprises;12173427448.0
2020-09-08;Professionnels;4130805636.0
2020-09-18;Entreprises;13677716435.0
2020-09-21;Entreprises;13117224395.0
2020-10-04;Entreprises;8528650707.0
2020-10-18;Entreprises;8834358091.0
2020-10-24;Entreprises;9690926957.0
2020-10-25;Résidentiels;17685697787.0
2020-11-02;Entreprises;12671808464.0
2020-11-11;PME / PMI;3510128162.0
2020-11-15;PME / PMI;3399668041.0
2020-11-24;Professionnels;5321280804.0
2020-11-26;PME / PMI;5936449076.0
2020-12-01;Entreprises;14577290347.0
2020-12-01;Professionnels;5985368356.0
2021-01-05;Résidentiels;31016653150.0
2021-01-13;Résidentiels;27134110892.0
2021-01-13;PME / PMI;3919678775.0
2021-01-23;Professionnels;5513676856.0
2021-01-30;Entreprises;12172772512.0
2021-02-01;Entreprises;15863220991.0
2021-02-27;Entreprises;11749451952.0
2021-02-27;Professionnels;4519501382.0
2021-03-16;PME / PMI;3292591895.0
2016-04-26;Résidentiels;18561106337.0
2016-05-03;Résidentiels;15051989749.0
2016-05-29;Entreprises;8321477804.0
2016-05-29;PME / PMI;3263995487.0
2016-06-04;Entreprises;9903211537.0
2016-06-04;PME / PMI;4144456600.0
2016-06-07;Entreprises;14254703781.0
2016-07-21;PME / PMI;5181958978.0
2016-08-02;Entreprises;12496625804.0
2016-08-10;Professionnels;3577731538.0
2016-09-23;Professionnels;3978437892.0
2016-11-19;Entreprises;10538386746.0
2016-11-19;Professionnels;5172513501.0
2016-11-20;PME / PMI;4370528724.0
2016-12-13;PME / PMI;6516157090.0
2017-01-25;PME / PMI;8053431118.0
2017-02-14;PME / PMI;6550171432.0
2017-04-13;Résidentiels;13404330701.0
2017-04-13;Entreprises;13888613118.0
2017-05-12;Entreprises;13574053972.0
2017-05-14;PME / PMI;3330332682.0
2017-05-14;Professionnels;3133240047.0
2017-05-20;Entreprises;9861579272.0
2017-08-07;PME / PMI;4704218916.0
2017-08-12;Résidentiels;10689198459.0
2017-08-12;Entreprises;8803148995.0
2017-08-12;Professionnels;3363535399.0
2017-08-31;PME / PMI;4796160261.0
2017-09-15;Résidentiels;11533178265.0
2017-09-15;Entreprises;13681091776.0
2017-09-15;PME / PMI;4871127717.0
2017-09-21;PME / PMI;4971692290.0
2017-10-08;Résidentiels;14853924109.0
2017-11-06;Entreprises;14011048864.0
2017-11-06;PME / PMI;6152653561.0
2017-11-06;Professionnels;5443497780.0
2017-12-13;Résidentiels;27141815724.0
2017-12-13;Entreprises;15610987233.0
2017-12-14;PME / PMI;6930989491.0
2017-12-14;Professionnels;6785157385.0
2017-12-23;Résidentiels;24099468276.0
2017-12-23;Entreprises;9678493116.0
2017-12-24;Entreprises;8685784646.0
2017-12-24;Professionnels;4977929850.0
2017-12-30;Entreprises;9381840085.0
2018-01-12;Professionnels;6399560440.0
2018-02-10;Résidentiels;30553839235.0
2018-02-16;PME / PMI;6405797725.0
2018-03-16;Résidentiels;19888450763.0
2018-03-31;PME / PMI;5251969435.0
2018-03-31;Professionnels;5154266812.0
2018-04-12;Entreprises;14306737788.0
2018-04-12;PME / PMI;5490264745.0
2018-04-12;Professionnels;4838925220.0
2018-06-03;PME / PMI;3176571685.0
2018-06-07;Entreprises;14269828550.0
2018-07-15;Entreprises;9420410788.0
2018-07-31;Résidentiels;10799296850.0
2018-07-31;PME / PMI;5298135859.0
2018-08-08;Professionnels;3824065759.0
2018-08-09;PME / PMI;5008297765.0
2018-09-21;Résidentiels;10321342475.0
2018-09-21;Entreprises;13975299200.0
2018-09-21;PME / PMI;4815699145.0
2018-09-26;Entreprises;14346417137.0
2018-11-17;Professionnels;4974773952.0
2018-11-30;Résidentiels;20675030834.0
2018-12-03;Entreprises;13853835940.0
2018-12-19;Entreprises;14746066160.0
2018-12-25;Résidentiels;22905514590.0
2019-01-26;Entreprises;11028470033.0
2019-01-26;PME / PMI;5823070148.0
2019-03-07;Résidentiels;19305200827.0
2019-03-08;Entreprises;14056416487.0
2019-04-16;Entreprises;14030384360.0
2019-04-16;Professionnels;4736981653.0
2019-04-17;Résidentiels;15621978076.0
2019-05-06;Professionnels;4539223912.0
2019-06-25;Entreprises;15066894398.0
2019-06-25;Professionnels;4010684123.0
2019-07-07;PME / PMI;3778738473.0
2019-07-08;Professionnels;3787521484.0
2019-07-09;Professionnels;3845062213.0
2019-07-12;Résidentiels;10633369722.0
2019-08-02;Résidentiels;10389024403.0
2019-08-02;Professionnels;3812299086.0
2019-08-20;Professionnels;3502073832.0
2019-09-05;Entreprises;13901894096.0
2019-09-13;Résidentiels;10555423306.0
2019-10-01;PME / PMI;4990757898.0
2019-10-06;Résidentiels;13561216668.0
2019-11-24;Résidentiels;23222762490.0
2019-12-08;Entreprises;9588152518.0
2019-12-21;PME / PMI;4904891266.0
2019-12-21;Professionnels;5297296638.0
2020-01-27;Résidentiels;24284015885.0
2020-01-27;PME / PMI;6720839099.0
2020-01-27;Professionnels;6104433319.0
2020-02-04;Résidentiels;20641931193.0
2020-03-09;PME / PMI;5690453455.0
2020-03-18;Entreprises;11705004250.0
2020-04-02;PME / PMI;4248351572.0
2020-04-02;Professionnels;4118105784.0
2020-04-08;PME / PMI;3706565085.0
2020-04-08;Professionnels;3410184376.0
2020-04-10;Résidentiels;13027717640.0
2020-04-11;Entreprises;8130234367.0
2020-04-11;Professionnels;3180758986.0
2020-06-10;Résidentiels;11822308959.0
2020-06-10;PME / PMI;4238323768.0
2020-06-19;Professionnels;3667060000.0
2020-07-04;Résidentiels;11896777613.0
2020-07-04;Professionnels;3540863177.0
2020-08-16;PME / PMI;3549384667.0
2020-10-07;PME / PMI;5675049913.0
2021-02-16;Résidentiels;25451657065.0
2021-02-16;PME / PMI;3785719069.0
2021-03-02;Résidentiels;20291500046.0
2016-03-23;PME / PMI;6137701813.0
2016-04-14;PME / PMI;5175547505.0
2016-04-15;PME / PMI;5041444027.0
2016-04-30;Professionnels;4508949302.0
2016-05-05;Entreprises;10236795529.0
2016-05-05;Professionnels;3159111169.0
2016-05-30;Professionnels;3859568215.0
2016-06-16;Résidentiels;10975333736.0
2016-06-16;Professionnels;4056686674.0
2016-07-02;Entreprises;10311803877.0
2016-08-29;Professionnels;3633875934.0
2016-10-05;Professionnels;4214916079.0
2016-10-17;Entreprises;13576707087.0
2016-10-23;Entreprises;8900583221.0
2016-10-28;PME / PMI;4929769307.0
2016-11-22;PME / PMI;6494754137.0
2016-12-23;Entreprises;12516148158.0
2016-12-28;Professionnels;6585554112.0
2017-01-27;Résidentiels;30274694683.0
2017-01-27;Entreprises;15342936887.0
2017-03-21;Entreprises;14468019566.0
2017-04-20;Entreprises;14150194658.0
2017-04-20;PME / PMI;5257107234.0
2017-04-21;Résidentiels;16434831942.0
2017-05-19;Résidentiels;11515915651.0
2017-06-03;Résidentiels;11188120012.0
2017-06-23;Entreprises;14825836116.0
2017-07-02;Entreprises;8841106989.0
2017-07-18;PME / PMI;5268160787.0
2017-08-04;PME / PMI;5042797974.0
2017-08-06;Résidentiels;11131130582.0
2017-08-15;PME / PMI;3362381548.0
2017-08-15;Professionnels;2896041667.0
2017-08-24;Entreprises;13583640568.0
2017-09-30;PME / PMI;3767356571.0
2017-09-30;Professionnels;3619455341.0
2017-10-31;Résidentiels;17431396130.0
2017-11-23;PME / PMI;6339046831.0
2017-12-28;Entreprises;11891051888.0
2017-12-28;Professionnels;6806624415.0
2018-01-13;Résidentiels;27072538422.0
2018-01-13;Professionnels;5873233221.0
2018-02-02;Professionnels;6701322111.0
2018-02-12;Professionnels;6731773359.0
2018-02-19;Professionnels;6227022681.0
2018-03-10;PME / PMI;5122027661.0
2018-04-03;Résidentiels;18136988371.0
2018-04-03;Professionnels;5258256062.0
2018-04-06;Résidentiels;16970046960.0
2018-04-13;PME / PMI;5288848320.0
2018-04-29;Résidentiels;15228514740.0
2018-06-02;Résidentiels;11241199311.0
2018-07-09;Résidentiels;10562828298.0
2018-07-09;PME / PMI;5209172335.0
2018-08-16;Professionnels;3583224764.0
2018-09-14;Entreprises;13866175738.0
2018-09-24;PME / PMI;4794641859.0
2018-09-30;Entreprises;8688481956.0
2018-10-30;Résidentiels;21648335935.0
2018-10-30;PME / PMI;5849076581.0
2018-11-09;Entreprises;13913917189.0
2018-11-29;PME / PMI;6525485205.0
2019-01-13;Entreprises;9631533334.0
2019-02-20;Résidentiels;22055934664.0
2019-05-12;Professionnels;3582036191.0
2019-05-28;PME / PMI;4869054899.0
2019-06-05;Entreprises;14048515263.0
2019-06-17;PME / PMI;4917756488.0
2019-08-01;Résidentiels;10296601678.0
2019-10-15;Résidentiels;11741658092.0
2019-10-22;PME / PMI;5219820894.0
2019-11-01;PME / PMI;3757661441.0
2019-11-10;Résidentiels;23153121981.0
2019-11-10;Professionnels;4700734186.0
2019-11-15;Entreprises;14623087733.0
2019-11-22;Résidentiels;22959066030.0
2019-11-22;PME / PMI;6421801662.0
2020-01-06;Professionnels;6443327148.0
2020-02-01;Entreprises;10275182588.0
2020-02-10;Entreprises;13796412227.0
2020-02-29;PME / PMI;5045729969.0
2020-02-29;Professionnels;5227182099.0
2020-04-19;Résidentiels;14268812526.0
2020-06-13;PME / PMI;3484959137.0
2020-06-23;PME / PMI;4677460734.0
2020-08-07;Entreprises;12192148130.0
2020-08-20;Professionnels;3999614134.0
2020-08-22;Résidentiels;11875484549.0
2020-08-23;Résidentiels;12010233086.0
2020-09-03;PME / PMI;5078988351.0
2020-09-12;PME / PMI;4202819544.0
2020-10-14;Résidentiels;18291094341.0
2020-10-26;Résidentiels;18244255485.0
2020-10-26;PME / PMI;5499163615.0
2020-11-04;Entreprises;13729850787.0
2020-11-12;Entreprises;13020007412.0
2020-11-25;Résidentiels;21810340175.0
2021-01-22;Résidentiels;24625452068.0
2021-02-05;PME / PMI;3574305674.0
2016-03-31;Professionnels;5418645066.0
2016-04-16;Professionnels;4115092693.0
2016-04-23;Entreprises;9881865938.0
2016-05-26;Entreprises;13863716382.0
2016-06-01;Entreprises;14136073977.0
